,title,source,Category,author,url,published
18,Trump hails CIA chief Mike Pompeo's secret trip to N Korea,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-asia-43811374,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=13, tm_sec=39, tm_wday=2, tm_yday=108, tm_isdst=0)"
19,'Confused' UN envoy Nikki Haley hits back at White House,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43806960,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=8, tm_min=15, tm_sec=58, tm_wday=2, tm_yday=108, tm_isdst=0)"
20,Cuba lawmakers meet to choose Ral Castro's successor,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-latin-america-43808311,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=36, tm_sec=1, tm_wday=2, tm_yday=108, tm_isdst=0)"
21,Former US First Lady Barbara Bush dies at 92,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43805365,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=3, tm_min=42, tm_sec=27, tm_wday=2, tm_yday=108, tm_isdst=0)"
22,Southwest Airlines jet engine 'explosion' leaves woman dead,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43803340,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=6, tm_min=14, tm_sec=59, tm_wday=2, tm_yday=108, tm_isdst=0)"
23,Syria 'chemical attack': OPCW Douma visit 'delayed by security issue',BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-middle-east-43792120,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=5, tm_sec=31, tm_wday=2, tm_yday=108, tm_isdst=0)"
24,Facebook seeks facial recognition consent in EU and Canada,BBCWorldNews,World,None,http://www.bbc.co.uk/news/technology-43797128,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=4, tm_min=56, tm_sec=4, tm_wday=2, tm_yday=108, tm_isdst=0)"
25,India journalist threatened over anti-rape cartoon,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-asia-india-43806970,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=0, tm_sec=11, tm_wday=2, tm_yday=108, tm_isdst=0)"
26,Minister ridiculed for saying ancient India invented internet,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-asia-india-43806078,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=6, tm_min=51, tm_sec=56, tm_wday=2, tm_yday=108, tm_isdst=0)"
27,Meteorite diamonds 'came from lost planet',BBCWorldNews,World,None,http://www.bbc.co.uk/news/science-environment-43804585,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=34, tm_sec=5, tm_wday=2, tm_yday=108, tm_isdst=0)"
28,Samoa wants nothing to do with drunken sailors,BBCWorldNews,World,None,http://www.bbc.co.uk/news/blogs-news-from-elsewhere-43807741,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=11, tm_sec=56, tm_wday=2, tm_yday=108, tm_isdst=0)"
29,Will China beat the world to nuclear fusion and clean energy?,BBCWorldNews,World,None,http://www.bbc.co.uk/news/blogs-china-blog-43792655,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=0, tm_min=53, tm_sec=47, tm_wday=2, tm_yday=108, tm_isdst=0)"
30,Sting and Shaggy: 'Cultural appropriation is an ugly term',BBCWorldNews,World,None,http://www.bbc.co.uk/news/entertainment-arts-43785032,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=0, tm_min=12, tm_sec=22, tm_wday=2, tm_yday=108, tm_isdst=0)"
31,Barbara Bush: Tributes after former US first lady dies,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43808233,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=4, tm_sec=48, tm_wday=2, tm_yday=108, tm_isdst=0)"
32,Turkey's anti-war protesters detained: 'Everything is a crime',BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-europe-43731563,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=1, tm_min=14, tm_sec=17, tm_wday=2, tm_yday=108, tm_isdst=0)"
33,Sweden's deadly problem with hand grenades,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-europe-43667367,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=5, tm_min=53, tm_sec=41, tm_wday=2, tm_yday=108, tm_isdst=0)"
34,Commonwealth Games: A turning point for Indian sport?,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-asia-india-43793326,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=0, tm_min=33, tm_sec=22, tm_wday=2, tm_yday=108, tm_isdst=0)"
35,"Pompeo visits North Korea, forms 'good relationship with Kim', says Trump",ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/nC0cs-_kRX4/pompeo-visits-north-korea-forms-good-relationship-with-kim-says-trump-idUSKBN1HP0BI,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=15, tm_sec=20, tm_wday=2, tm_yday=108, tm_isdst=0)"
36,Explainer: North Korea peace deal - Neither a new nor a simple idea,ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/YZAOYZCAZs0/explainer-north-korea-peace-deal-neither-a-new-nor-a-simple-idea-idUSKBN1HP13O,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=15, tm_sec=20, tm_wday=2, tm_yday=108, tm_isdst=0)"
37,Syria chemical weapons visit postponed after gunfire: sources,ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/MvuX7QeLPBU/syria-chemical-weapons-visit-postponed-after-gunfire-sources-idUSKBN1HP0SG,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=11, tm_sec=39, tm_wday=2, tm_yday=108, tm_isdst=0)"
38,Indian Prime Minister Modi confronted by angry protests in London,ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/3rjc4gpYSJc/indian-prime-minister-modi-confronted-by-angry-protests-in-london-idUSKBN1HP1QK,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=13, tm_sec=32, tm_wday=2, tm_yday=108, tm_isdst=0)"
39,'We are watching you': Political killings shake Mexico election,ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/T0jv2OihXls/we-are-watching-you-political-killings-shake-mexico-election-idUSKBN1HP0HV,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=20, tm_sec=8, tm_wday=2, tm_yday=108, tm_isdst=0)"
